Project Name,Area (SQFT),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level,Transacted Price ($)
EASTWOOD CENTRE,"3,196.91",Oct-20,EASTWOOD ROAD,Resale,Strata,297,Apartment,1,99 yrs lease commencing from 1995,16,Outside Central Region,01 to 05,1500000
COTE D'AZUR,"1,108.69",Aug-23,MARINE PARADE ROAD,Resale,Strata,103.0,Condominium,1,99 yrs lease commencing from 2001,15,Rest of Central Region,11 to 15,1930000
FLAMINGO VALLEY,"1,485.43",Jun-22,SIGLAP ROAD,Resale,Strata,138,Condominium,1,Freehold,15,Outside Central Region,01 to 05,2328000
MARINA ONE RESIDENCES,"1,506.96",May-22,MARINA WAY,Resale,Strata,140,Apartment,1,99 yrs lease commencing from 2011,1,Core Central Region,26 to 30,3930622
J'DEN,710.42,Nov-23,JURONG EAST CENTRAL 1,New Sale,Strata,66.0,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,26 to 30,1820000
CAVENDISH PARK,"1,270.15",Feb-21,PINE GROVE,Resale,Strata,118,Condominium,1,99 yrs lease commencing from 1991,21,Rest of Central Region,11 to 15,1520000
PRINCIPAL GARDEN,807.3,Dec-21,PRINCE CHARLES CRESCENT,Resale,Strata,75,Condominium,1,99 yrs lease commencing from 2014,3,Rest of Central Region,16 to 20,1588000
HAWAII TOWER,"2,238.91",Jul-21,MEYER ROAD,Resale,Strata,208,Condominium,1,Freehold,15,Rest of Central Region,11 to 15,3760000
TREASURE AT TAMPINES,"1,237.86",Jul-21,TAMPINES LANE,New Sale,Strata,115,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,06 to 10,1695000
LENTORIA,731.95,Mar-24,LENTOR HILLS ROAD,New Sale,Strata,68,Condominium,1,99 yrs lease commencing from 2022,26,Outside Central Region,06 to 10,1581000
CARABELLE,"1,130.22",Apr-23,WEST COAST WAY,Resale,Strata,105,Condominium,1,956 yrs lease commencing from 1928,5,Outside Central Region,06 to 10,1850000
ONE ST MICHAEL'S,936.47,Mar-24,ST. MICHAEL'S ROAD,Resale,Strata,87,Condominium,1,Freehold,12,Rest of Central Region,06 to 10,1445000
THE SAIL @ MARINA BAY,667.37,May-23,MARINA BOULEVARD,Resale,Strata,62,Apartment,1,99 yrs lease commencing from 2002,1,Core Central Region,21 to 25,1230000
PICCADILLY GRAND,645.84,May-22,NORTHUMBERLAND ROAD,New Sale,Strata,60,Apartment,1,99 yrs lease commencing from 2021,8,Rest of Central Region,06 to 10,1416000
SOUTHBANK,613.55,Dec-24,NORTH BRIDGE ROAD,Resale,Strata,57.0,Apartment,1,99 yrs lease commencing from 2006,7,Rest of Central Region,16 to 20,1150000
TANGLIN VIEW,"1,377.79",Jul-23,PRINCE CHARLES CRESCENT,Resale,Strata,128.0,Condominium,1,99 yrs lease commencing from 1997,3,Rest of Central Region,01 to 05,2050000
WATERVIEW,925.7,May-21,TAMPINES AVENUE 1,Resale,Strata,86,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,11 to 15,950000
THE AZURE,"1,883.7",Aug-20,OCEAN DRIVE,Resale,Strata,175,Condominium,1,99 yrs lease commencing from 2005,4,Core Central Region,01 to 05,2250000
STIRLING RESIDENCES,635.08,Dec-20,STIRLING ROAD,New Sale,Strata,59,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,31 to 35,1340000
RIO VISTA,"1,237.86",May-22,UPPER SERANGOON VIEW,Resale,Strata,115,Condominium,1,99 yrs lease commencing from 2001,19,Outside Central Region,06 to 10,1240000
PARC KOMO,721.19,Aug-21,UPPER CHANGI ROAD NORTH,New Sale,Strata,67,Apartment,1,Freehold,17,Outside Central Region,01 to 05,1099000
WATERVIEW,925.7,Apr-22,TAMPINES AVENUE 1,Resale,Strata,86,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,01 to 05,896000
# 1 SUITES,592.02,Apr-24,LORONG 20 GEYLANG,Resale,Strata,55,Apartment,1,Freehold,14,Rest of Central Region,06 to 10,720000
LENTOR MANSION,527.44,Mar-24,LENTOR GARDENS,New Sale,Strata,49,Apartment,1,99 yrs lease commencing from 2023,26,Outside Central Region,11 to 15,1245000
THE WOODLEIGH RESIDENCES,850.36,Apr-22,BIDADARI PARK DRIVE,New Sale,Strata,79,Apartment,1,99 yrs lease commencing from 2017,13,Rest of Central Region,01 to 05,1830000
ONE BERNAM,731.95,Nov-24,BERNAM STREET,New Sale,Strata,68.0,Apartment,1,99 yrs lease commencing from 2019,2,Core Central Region,21 to 25,1970000
